participant_id,run_index,relative_path,mask_sha256,mask_nonzero_voxels,mask_fraction,components_26_connected,largest_component_voxels,largest_component_fraction,second_component_voxels,bbox_width_axis0,bbox_width_axis1,bbox_width_axis2,touches_volume_border,claim_level
sub-02,5,sub-02/anat/sub-02_run-05_T1w.nii.gz,34a153b800ec4ef187e4a30a59124f6375a898de96deed5ab5dd1ff636a0c042,1122013,0.087349794,1,1122013,1,0,176,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,6,sub-02/anat/sub-02_run-06_T1w.nii.gz,b7dcf603c1b7f081153e16bebd8a0138b5c085ac38d15eddd95fa1334e7b6d93,1123759,0.087485722,1,1123759,1,0,175,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,7,sub-02/anat/sub-02_run-07_T1w.nii.gz,29744a2233964dda9cb3463a94b06694ffbae160839613d516ce6679eb2864b0,1119013,0.087116241,1,1119013,1,0,175,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,8,sub-02/anat/sub-02_run-08_T1w.nii.gz,b8d905e19d38c950bb30c31a02a561de011ac34638d817ef9ca00005d8513c65,1121258,0.087291017,1,1121258,1,0,176,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,9,sub-02/anat/sub-02_run-09_T1w.nii.gz,1d381e093bfcc73d5f513a069f83a63f54bc7877c3424cc34290c3f0c374bcc1,1121620,0.087319199,1,1121620,1,0,176,132,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,10,sub-02/anat/sub-02_run-10_T1w.nii.gz,5dd2d77ecb170d8ca839b800bbebde14aa657435d6be3a9fd9b422d405bc6798,1118152,0.087049212,1,1118152,1,0,175,132,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,11,sub-02/anat/sub-02_run-11_T1w.nii.gz,4ee4d7d9350dadd08286e08828e80938807bea84e56594ab0139d74356f14bf0,1128251,0.087835429,1,1128251,1,0,176,131,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,12,sub-02/anat/sub-02_run-12_T1w.nii.gz,c68daed8b801e300fd47aa3efe7872bebbfe7edfd2f0df23f9f068571d40d461,1113628,0.086697014,1,1113628,1,0,177,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-02,13,sub-02/anat/sub-02_run-13_T1w.nii.gz,655ebb4af591684d134dea58dfad3a8f70fcf460be88f0abc72ca4c31945fcd6,1120781,0.087253882,1,1120781,1,0,175,132,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,14,sub-02/anat/sub-02_run-14_T1w.nii.gz,e190556c497761f896ff2f2743fc4e3efc5f77f4a343c6c2ec42bb397faedbae,1126034,0.087662833,1,1126034,1,0,177,133,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,15,sub-02/anat/sub-02_run-15_T1w.nii.gz,2ab26798f1c1a3cc6c3e4f8af4bf44c0dcd7924e898f5ae76741efaaef9f14be,1129046,0.08789732,1,1129046,1,0,177,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,16,sub-02/anat/sub-02_run-16_T1w.nii.gz,1e431d86a3271e0ea78ee1e1ffe678ae8f88d5f12968871a590c5e12ff111fec,1126131,0.087670385,1,1126131,1,0,177,130,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,17,sub-02/anat/sub-02_run-17_T1w.nii.gz,29f1c4b220b3dbd970c52d8356f44040f55cc49cd9623ebcf54ee19db6b6a723,1124324,0.087529708,1,1124324,1,0,174,132,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,18,sub-02/anat/sub-02_run-18_T1w.nii.gz,c0f981b43fdb2cf38d405220214e2e0cdd8524a56d95c0fc9ff953144f0fb1b6,1122201,0.08736443,1,1122201,1,0,176,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,19,sub-02/anat/sub-02_run-19_T1w.nii.gz,c41b5d689e7dea4bbe3733c465956c1565222923017c05023860267cffb4fa9c,1126196,0.087675445,1,1126196,1,0,177,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,20,sub-02/anat/sub-02_run-20_T1w.nii.gz,f9e343ebc3c86bce2050acb3843092dbb690c5e4b2ad4e456a8db3d271fca6a5,1124906,0.087575017,1,1124906,1,0,177,133,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,21,sub-02/anat/sub-02_run-21_T1w.nii.gz,be671003c4b036e8fc55d24d5beacb2711ece8b2d7494baefd65eeed1c87cdbc,1126100,0.087667971,1,1126100,1,0,175,129,108,0,skullstrip_input_qc_not_segmentation_validation
sub-02,22,sub-02/anat/sub-02_run-22_T1w.nii.gz,f25300f65803c6351b6248bf1789b0cdaa87bff74024a2c9ae9e8d039e06726a,1129135,0.087904249,1,1129135,1,0,177,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,23,sub-02/anat/sub-02_run-23_T1w.nii.gz,ff8456e62981d08b5b623fdf32e13e1b1c82b59e883949622fdcdf43cc95c745,1135875,0.088428964,1,1135875,1,0,177,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,24,sub-02/anat/sub-02_run-24_T1w.nii.gz,8fc15a5cfc3219bee9584d300ffd38d6c8cb9bf8e0a074630acee94288d8796b,1138470,0.088630988,2,1138469,0.99999912,1,176,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,25,sub-02/anat/sub-02_run-25_T1w.nii.gz,3fd405dae6dd6b7204adabcfe3fa225fa23f9c9f3467b0316e2b0b90ebff3c54,1124406,0.087536092,1,1124406,1,0,176,130,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,26,sub-02/anat/sub-02_run-26_T1w.nii.gz,22daf2c0460e626d4819dfe1e76535638689c53d58d26f37834ca74f3f889273,1127549,0.087780777,1,1127549,1,0,176,134,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,27,sub-02/anat/sub-02_run-27_T1w.nii.gz,cb8576c529da2b394059b8a65f1931a72a60bc942d77ca11c1a9decd41d9c847,1127988,0.087814954,1,1127988,1,0,177,134,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,28,sub-02/anat/sub-02_run-28_T1w.nii.gz,17e67aa6e8146c8d4d71a08772716f3262c94727c94d8243ea0d45794e5ce3ef,1127505,0.087777352,1,1127505,1,0,175,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,29,sub-02/anat/sub-02_run-29_T1w.nii.gz,3e2a4de67c6be746ec2c9c7b756666a0589f3d6c9c3ad86d49d68b39db457085,1129375,0.087922933,1,1129375,1,0,175,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-02,30,sub-02/anat/sub-02_run-30_T1w.nii.gz,33c5678678393fe229e18ce1a6c1ca009897b75e1296c8d28992c72b15d5a67a,1136197,0.088454032,1,1136197,1,0,176,134,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,31,sub-02/anat/sub-02_run-31_T1w.nii.gz,d0e85bdb3ef01e713fac192438619d24b459b0d259cc07e55b94d6fe0ff94ebe,1137467,0.088552903,1,1137467,1,0,176,133,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,32,sub-02/anat/sub-02_run-32_T1w.nii.gz,e3626310930d15d7df9762c0e42084586053df61b1c7103e14047f8152418f2c,1135998,0.08843854,1,1135998,1,0,175,132,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,33,sub-02/anat/sub-02_run-33_T1w.nii.gz,294933d605201aef34aef566f4c29c74108cfb25989070e55368b5429cf18526,1128426,0.087849053,1,1128426,1,0,176,132,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,34,sub-02/anat/sub-02_run-34_T1w.nii.gz,e913b354b10f983a533224db4609cc96bbe38497382321b1a33893df6749df49,1133312,0.088229432,1,1133312,1,0,176,133,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,35,sub-02/anat/sub-02_run-35_T1w.nii.gz,3537fb03ed0e5d026ec5429067132032493507eb9f78e723173b1d8d1aea7a06,1138013,0.08859541,1,1138013,1,0,177,133,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,36,sub-02/anat/sub-02_run-36_T1w.nii.gz,70a4117c2c7f223cbb6954b89779aa6dcbb81e5144ebd1efc2351cf334bf0afb,1127227,0.087755709,1,1127227,1,0,175,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,37,sub-02/anat/sub-02_run-37_T1w.nii.gz,a927c03bd0dc9b9fc1ced05920a240fbee392cf4228553f691f520a6d89791d2,1120571,0.087237533,1,1120571,1,0,176,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,38,sub-02/anat/sub-02_run-38_T1w.nii.gz,8ba5b22d0db6f931273fe341174d1f894713ff27ac36c9d32b71c47c9862d381,1135474,0.088397746,1,1135474,1,0,176,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,39,sub-02/anat/sub-02_run-39_T1w.nii.gz,1c2601b262619b16bf2f63f5313cf94de718928f9ca599c71063fab6e31948af,1125470,0.087618925,1,1125470,1,0,176,134,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,40,sub-02/anat/sub-02_run-40_T1w.nii.gz,710bcb5fb97150bb50b99800ddef3a709c981bbf876a8f503e1dec3ec72a464e,1125303,0.087605924,1,1125303,1,0,175,132,109,0,skullstrip_input_qc_not_segmentation_validation
