category,name,cross_pos,cross_neg,cross_cv,long_pos,long_neg,long_cv,delta_cv,ratio,improved
subcortical-volume,Left-Caudate,3354.805,3369.906,0.22455983610299557,3406.02,3404.805,0.01783924854918671,-0.20672058755380887,0.0794409581818747,True
subcortical-volume,Right-Caudate,3391.738,3409.001,0.2538400606169473,3456.569,3465.079,0.12294759860657777,-0.13089246201036953,0.4843506509877083,True
subcortical-volume,Left-Putamen,4815.555,4848.759,0.343573273798841,4897.548,4904.922,0.07522593795237116,-0.26834733584646986,0.2189516580280201,True
subcortical-volume,Right-Putamen,4831.567,4820.721,0.1123671403091211,4872.739,4861.841,0.1119514144421149,-0.00041572586700619474,0.9963002896944557,True
subcortical-volume,Left-Pallidum,1722.961,1717.626,0.15506074980810067,1702.003,1716.928,0.4365399594200697,0.28147920961196904,2.8152834289807105,False
subcortical-volume,Right-Pallidum,1690.388,1700.993,0.3127044705386985,1646.329,1647.959,0.04947958405579928,-0.2632248864828992,0.15823113743964198,True
cortical-dkt-volume,ctx-lh-caudalanteriorcingulate,2983.072,2986.316,0.05434392939443185,2974.249,2961.935,0.20743966157383012,0.15309573217939826,3.817163460305185,False
cortical-dkt-volume,ctx-lh-caudalmiddlefrontal,6796.977,6869.188,0.5283925666051905,7012.989,6983.142,0.21325179079846962,-0.3151407758067209,0.40358590236907926,True
cortical-dkt-volume,ctx-lh-cuneus,3742.039,3719.335,0.304287119235682,3805.213,3774.977,0.39888182222345786,0.09459470298777584,1.310873175392313,False
cortical-dkt-volume,ctx-lh-entorhinal,1428.712,1445.824,0.5952960756101187,1437.683,1432.272,0.18853954156075822,-0.4067565340493604,0.3167155794997038,True
cortical-dkt-volume,ctx-lh-fusiform,7153.276,7182.113,0.20115952207505805,7181.778,7198.968,0.11953482802630407,-0.08162469404875398,0.594229031731853,True
cortical-dkt-volume,ctx-lh-inferiorparietal,9100.497,9247.679,0.8021614791573871,9455.565,9499.651,0.23257978173395297,-0.5695816974234341,0.28994134943784794,True
cortical-dkt-volume,ctx-lh-inferiortemporal,12651.599,12477.952,0.6910071731882549,12640.904,12659.408,0.07313743798890306,-0.6178697351993518,0.1058417927146146,True
cortical-dkt-volume,ctx-lh-insula,5586.611,5595.424,0.07881391893336143,5650.048,5646.805,0.028707109847313086,-0.05010680908604834,0.36423908664642674,True
cortical-dkt-volume,ctx-lh-isthmuscingulate,2214.842,2216.461,0.03653552916601928,2201.402,2202.835,0.03253685031028059,-0.003998678855738687,0.8905536898735341,True
cortical-dkt-volume,ctx-lh-lateraloccipital,9234.369,9196.822,0.2037144533958792,9238.739,9240.268,0.00827425413064918,-0.19544019926523004,0.04061692232789092,True
cortical-dkt-volume,ctx-lh-lateralorbitofrontal,8940.952,8876.544,0.3614873829633493,9003.567,8991.362,0.06782466327041319,-0.2936627196929361,0.18762664056048073,True
cortical-dkt-volume,ctx-lh-lingual,5615.073,5591.532,0.21006361873199036,5717.433,5704.727,0.11123990558703548,-0.09882371314495489,0.5295534098599001,True
cortical-dkt-volume,ctx-lh-medialorbitofrontal,5177.137,5091.739,0.8316197410505312,5205.248,5165.023,0.3878876453662537,-0.44373209568427746,0.466424287711425,True
cortical-dkt-volume,ctx-lh-middletemporal,13150.885,13198.77,0.18172913459398318,13435.017,13401.417,0.12520292375656306,-0.05652621083742013,0.6889535023445182,True
cortical-dkt-volume,ctx-lh-paracentral,3311.094,3287.599,0.35605535823533374,3453.363,3447.141,0.09016732690829181,-0.2658880313270419,0.25323962923960824,True
cortical-dkt-volume,ctx-lh-parahippocampal,1967.827,2009.166,1.0394536776906558,1996.515,2007.05,0.26314047605071617,-0.7763132016399397,0.25315267211842746,True
cortical-dkt-volume,ctx-lh-parsopercularis,3989.857,3952.514,0.470174460498003,4095.599,4093.37,0.027219543754534534,-0.44295491674346843,0.057892433641980316,True
cortical-dkt-volume,ctx-lh-parsorbitalis,1892.166,1892.673,0.013395549982444745,1912.026,1895.701,0.4287334674991155,0.41533791751667076,32.005663676443525,False
cortical-dkt-volume,ctx-lh-parstriangularis,4342.107,4403.827,0.7056993569812011,4414.01,4420.497,0.07342797962580232,-0.6322713773553988,0.10404994548940526,True
cortical-dkt-volume,ctx-lh-pericalcarine,1659.369,1665.471,0.18352762839715864,1754.769,1742.861,0.34045911088365266,0.15693148248649402,1.8550836942484221,False
cortical-dkt-volume,ctx-lh-postcentral,8851.118,8775.058,0.43151730698706,8896.037,8915.327,0.10830164382693573,-0.32321566316012423,0.2509786793561525,True
cortical-dkt-volume,ctx-lh-posteriorcingulate,2496.741,2512.974,0.3240304089154807,2515.714,2525.031,0.18483378944977394,-0.13919661946570674,0.5704211221051958,True
cortical-dkt-volume,ctx-lh-precentral,11944.775,11896.898,0.2008122500463806,12234.329,12239.106,0.0195191234904297,-0.1812931265559509,0.09720086043516502,True
cortical-dkt-volume,ctx-lh-precuneus,8116.562,8266.836,0.9172334090888803,8490.126,8443.645,0.27448699997183007,-0.6427464091170503,0.29925534466138504,True
cortical-dkt-volume,ctx-lh-rostralanteriorcingulate,3345.455,3348.722,0.048803609465364904,3384.17,3420.341,0.5315738338875463,0.4827702244221814,10.892100803830816,False
cortical-dkt-volume,ctx-lh-rostralmiddlefrontal,12584.709,12518.485,0.2638070677380741,12702.625,12726.244,0.09288262092978102,-0.1709244468082931,0.35208541502004526,True
cortical-dkt-volume,ctx-lh-superiorfrontal,23613.33,23532.911,0.17057351401568088,23860.161,23888.646,0.0596559407232951,-0.11091757329238577,0.34973742006517444,True
cortical-dkt-volume,ctx-lh-superiorparietal,10802.171,10839.489,0.17243594068107207,11178.793,11186.984,0.03662291723645779,-0.13581302344461427,0.21238563777254243,True
cortical-dkt-volume,ctx-lh-superiortemporal,15790.573,15662.206,0.40812609912783915,16055.142,16094.536,0.12253310904078178,-0.28559299008705735,0.3002334555487474,True
cortical-dkt-volume,ctx-lh-supramarginal,9181.218,9173.474,0.0421908468962628,9410.774,9418.539,0.04123889172165355,-0.0009519551746092481,0.9774369266170485,True
cortical-dkt-volume,ctx-lh-transversetemporal,1191.939,1202.567,0.44384937853569495,1247.539,1245.404,0.08564174953057453,-0.35820762900512043,0.19295227992233657,True
cortical-dkt-volume,ctx-rh-caudalanteriorcingulate,1617.808,1606.548,0.34921702194174564,1613.312,1611.917,0.04325274267346541,-0.30596427926828024,0.12385634134604293,True
cortical-dkt-volume,ctx-rh-caudalmiddlefrontal,6683.227,6584.407,0.7448200636224944,6809.814,6823.632,0.10135368563457325,-0.6434663779879212,0.13607808192173443,True
cortical-dkt-volume,ctx-rh-cuneus,3500.826,3385.444,1.6755369742981332,3421.058,3426.368,0.077547387879766,-1.5979895864183673,0.04628211079152693,True
cortical-dkt-volume,ctx-rh-entorhinal,1448.151,1493.809,1.5519585582400814,1503.223,1496.22,0.23347668217065398,-1.3184818760694275,0.15044002362757428,True
cortical-dkt-volume,ctx-rh-fusiform,7234.918,7266.222,0.21587268311319033,7357.149,7353.659,0.02372405377053858,-0.19214862934265176,0.10989835966461374,True
