reference_variant,session_group,structure,n_sources,n_methods,reference_volume_ml,source_median_ml,source_mad_ml,reference_strength
all_source_median,2024_t1like,fourth_ventricle,6,2,1.5401296131386268,1.5401296131386268,0.20780454953479732,moderate
trusted_source_median,2024_t1like,fourth_ventricle,4,2,1.5401296131386268,1.5401296131386268,0.2014951131386269,moderate
trusted_method_balanced_median,2024_t1like,fourth_ventricle,4,2,1.5546779100099968,1.5546779100099968,0.21604341000999683,moderate
all_source_median,2024_t1like,left_accumbens_area,6,2,0.6427775527482953,0.6427775527482953,0.07353401357033129,moderate
trusted_source_median,2024_t1like,left_accumbens_area,4,2,0.6427775527482953,0.6427775527482953,0.049451013570331326,moderate
trusted_method_balanced_median,2024_t1like,left_accumbens_area,4,2,0.642968269588982,0.642968269588982,0.04964173041101805,moderate
all_source_median,2024_t1like,left_amygdala,6,2,1.507377177701961,1.507377177701961,0.0896399155465587,moderate
trusted_source_median,2024_t1like,left_amygdala,4,2,1.482798795862354,1.482798795862354,0.065061533706952,moderate
trusted_method_balanced_median,2024_t1like,left_amygdala,4,2,1.498971881077701,1.498971881077701,0.081234618922299,moderate
all_source_median,2024_t1like,left_caudate,6,2,3.287454681937226,3.287454681937226,0.34705694668199194,moderate
trusted_source_median,2024_t1like,left_caudate,4,2,3.287454681937226,3.287454681937226,0.242822946681992,moderate
trusted_method_balanced_median,2024_t1like,left_caudate,4,2,3.321708867627617,3.321708867627617,0.27707713237238285,moderate
all_source_median,2024_t1like,left_cerebellum_cortex,6,2,48.89087840565227,48.89087840565227,1.6656485943477293,moderate
trusted_source_median,2024_t1like,left_cerebellum_cortex,4,2,48.89087840565227,48.89087840565227,1.5821150943477313,moderate
trusted_method_balanced_median,2024_t1like,left_cerebellum_cortex,4,2,48.65517197125434,48.65517197125434,1.817821528745661,moderate
all_source_median,2024_t1like,left_cerebellum_white_matter,6,2,11.646874581613934,11.646874581613934,1.3684749183860667,moderate
trusted_source_median,2024_t1like,left_cerebellum_white_matter,4,2,11.368271807274734,11.368271807274734,1.3996179870430474,moderate
trusted_method_balanced_median,2024_t1like,left_cerebellum_white_matter,4,2,11.492001660115843,11.492001660115843,1.5233478398841571,moderate
all_source_median,2024_t1like,left_cerebral_cortex,6,2,244.95529,244.95529,9.436795306751563,moderate
trusted_source_median,2024_t1like,left_cerebral_cortex,4,2,247.36589467999107,247.36589467999107,2.4106046799910814,moderate
trusted_method_balanced_median,2024_t1like,left_cerebral_cortex,4,2,249.67368765337577,249.67368765337577,4.718397653375774,moderate
all_source_median,2024_t1like,left_cerebral_white_matter,6,2,183.93287407674603,183.93287407674603,19.377530923253957,moderate
trusted_source_median,2024_t1like,left_cerebral_white_matter,4,2,193.09451718916978,193.09451718916978,9.16164311242376,moderate
trusted_method_balanced_median,2024_t1like,left_cerebral_white_matter,4,2,193.62163953837302,193.62163953837302,9.688765461626986,moderate
all_source_median,2024_t1like,left_hippocampus,6,2,3.9114385703107897,3.9114385703107897,0.09728920416704478,moderate
trusted_source_median,2024_t1like,left_hippocampus,4,2,3.9114385703107897,3.9114385703107897,0.08296102880386091,moderate
trusted_method_balanced_median,2024_t1like,left_hippocampus,4,2,3.8924247995573253,3.8924247995573253,0.10197479955732547,moderate
all_source_median,2024_t1like,left_inferior_lateral_ventricle,6,2,0.2718758356252686,0.2718758356252686,0.06116503218540306,moderate
trusted_source_median,2024_t1like,left_inferior_lateral_ventricle,4,2,0.2381393356252686,0.2381393356252686,0.030095335625268588,moderate
trusted_method_balanced_median,2024_t1like,left_inferior_lateral_ventricle,4,2,0.2546801636539844,0.2546801636539844,0.046636163653984375,moderate
all_source_median,2024_t1like,left_lateral_ventricle,6,2,5.406187057663709,5.406187057663709,0.8015018520396135,moderate
trusted_source_median,2024_t1like,left_lateral_ventricle,4,2,5.623397352039613,5.623397352039613,0.7632277354314811,moderate
trusted_method_balanced_median,2024_t1like,left_lateral_ventricle,4,2,5.604260293735547,5.604260293735547,0.7823647937355469,moderate
all_source_median,2024_t1like,left_pallidum,6,2,1.3852020892137231,1.3852020892137231,0.2459160892137232,moderate
trusted_source_median,2024_t1like,left_pallidum,4,2,1.332445589213723,1.332445589213723,0.19315958921372312,moderate
trusted_method_balanced_median,2024_t1like,left_pallidum,4,2,1.3720793966655491,1.3720793966655491,0.23279339666554932,moderate
all_source_median,2024_t1like,left_putamen,6,2,4.907912685748109,4.907912685748109,0.2688156107514139,moderate
trusted_source_median,2024_t1like,left_putamen,4,2,4.907912685748109,4.907912685748109,0.13688711075141402,moderate
trusted_method_balanced_median,2024_t1like,left_putamen,4,2,4.912801537498348,4.912801537498348,0.14177596250165259,moderate
all_source_median,2024_t1like,left_thalamus,6,2,6.5120130970054575,6.5120130970054575,0.28194055541765284,moderate
trusted_source_median,2024_t1like,left_thalamus,4,2,6.5120130970054575,6.5120130970054575,0.09147921869602937,moderate
trusted_method_balanced_median,2024_t1like,left_thalamus,4,2,6.725002189154715,6.725002189154715,0.3044683108452859,moderate
all_source_median,2024_t1like,left_ventral_dc,3,1,3.9276560628607537,3.9276560628607537,0.17287263018770282,weak
trusted_source_median,2024_t1like,left_ventral_dc,2,1,3.8412197477669023,3.8412197477669023,0.08643631509385141,weak
all_source_median,2024_t1like,right_accumbens_area,6,2,0.6493495619227931,0.6493495619227931,0.13034893807720682,moderate
trusted_source_median,2024_t1like,right_accumbens_area,4,2,0.6493495619227931,0.6493495619227931,0.11378593807720688,moderate
trusted_method_balanced_median,2024_t1like,right_accumbens_area,4,2,0.6423453380442079,0.6423453380442079,0.12079016195579212,moderate
all_source_median,2024_t1like,right_amygdala,6,2,1.4494881199674077,1.4494881199674077,0.06897439062943755,moderate
trusted_source_median,2024_t1like,right_amygdala,4,2,1.5086138868411025,1.5086138868411025,0.12810015750313242,moderate
trusted_method_balanced_median,2024_t1like,right_amygdala,4,2,1.515495614668985,1.515495614668985,0.13498188533101496,moderate
all_source_median,2024_t1like,right_caudate,6,2,3.4782652612645997,3.4782652612645997,0.27272020950126064,moderate
