reference_variant,source_id,method,scan_id,structure,label,dice,jaccard,hd95_mm,assd_mm,source_voxels,reference_voxels,intersection_voxels,signed_volume_error_pct,abs_volume_error_pct,n_reference_sources
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebellum_white_matter,46,0.8285818049754857,0.7073321965586731,2.2360680103302,0.8699374794960022,11227,10801,9126,3.9440792519211185,3.9440792519211185,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebellum_cortex,47,0.8897693418102521,0.8014274648666593,2.2360680103302,0.8971332907676697,48164,49513,43455,-2.7245369902853795,2.7245369902853795,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_thalamus,49,0.8832854088328541,0.7909679123200846,2.0,0.7988175749778748,7157,6406,5990,11.723384327193257,11.723384327193257,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_caudate,50,0.8244958924570575,0.7013977128335451,1.7320507764816284,0.6487485766410828,3543,3152,2760,12.404822335025381,12.404822335025381,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_putamen,51,0.8680889087456718,0.7669232287349517,1.4142135381698608,0.6438162922859192,4484,4469,3886,0.3356455582904453,0.3356455582904453,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_pallidum,52,0.8543987706492508,0.7458081824279007,2.0,0.581672728061676,1315,1288,1112,2.096273291925466,2.096273291925466,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_hippocampus,53,0.8650442477876106,0.7621832358674464,1.4142135381698608,0.5508281588554382,3738,3494,3128,6.983400114481969,6.983400114481969,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_amygdala,54,0.8371641307866623,0.7199331848552338,1.4142135381698608,0.6719182729721069,1680,1409,1293,19.233498935415188,19.233498935415188,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_accumbens_area,58,0.7536873156342183,0.6047337278106509,1.7320507764816284,0.6748008728027344,803,553,511,45.20795660036166,45.20795660036166,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_ventral_dc,60,0.8405917323378957,0.7250178869544479,1.4142135381698608,0.6669336557388306,3841,3392,3040,13.237028301886792,13.237028301886792,3
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_cerebral_white_matter,2,0.8609285005386422,0.7558160316940217,2.0,0.67409348487854,180772,172895,152241,4.555944359293212,4.555944359293212,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_cerebral_cortex,3,0.7876811256581093,0.6497309761721752,2.2360680103302,0.8000659942626953,246154,247495,194419,-0.5418291278611689,0.5418291278611689,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_lateral_ventricle,4,0.6973172987974098,0.5352932822042323,2.8284270763397217,0.9544897079467773,6100,4710,3769,29.511677282377917,29.511677282377917,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_inferior_lateral_ventricle,5,0.32510288065843623,0.1941031941031941,2.8284270763397217,1.1995790004730225,355,131,79,170.99236641221373,170.99236641221373,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_cerebellum_white_matter,7,0.8561518057539278,0.7484837673920799,2.2360680103302,0.7553250193595886,9793,9811,8392,-0.18346753643869126,0.18346753643869126,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_cerebellum_cortex,8,0.8869181007145576,0.7968129760118516,2.4494898319244385,0.8697696924209595,44888,49716,41953,-9.711159385308553,9.711159385308553,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_thalamus,10,0.8575712143928036,0.7506561679790026,2.2360680103302,0.8011593222618103,6311,6362,5434,-0.8016347060672745,0.8016347060672745,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_caudate,11,0.7773685972547707,0.635815991237678,2.0,0.840086042881012,2997,2977,2322,0.6718172657037286,0.6718172657037286,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_putamen,12,0.7960365174794033,0.6611799519141853,2.2360680103302,0.887872040271759,4504,4478,3575,0.5806163465832961,0.5806163465832961,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_pallidum,13,0.7583815028901734,0.6108007448789572,2.4494898319244385,0.7900710105895996,1518,1077,984,40.947075208913645,40.947075208913645,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,third_ventricle,14,0.5363859362224039,0.3664804469273743,2.2360680103302,1.2912533283233643,1776,670,656,165.07462686567166,165.07462686567166,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,fourth_ventricle,15,0.7544151949350216,0.6056714820759764,2.2360680103302,0.6929466128349304,1726,1275,1132,35.37254901960784,35.37254901960784,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,brain_stem,16,0.8798957062021524,0.7855480164429697,2.4494898319244385,0.8309797048568726,16770,19282,15861,-13.027694222591018,13.027694222591018,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_hippocampus,17,0.8258081402957728,0.7032991529201962,1.7320507764816284,0.62734055519104,3990,3651,3155,9.285127362366474,9.285127362366474,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,left_amygdala,18,0.8247639034627492,0.7017857142857142,1.7320507764816284,0.6013636589050293,1430,1429,1179,0.06997900629811056,0.06997900629811056,4
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,csf,24,0.00905177520635046,0.004546464389996192,64.70703125,50.346656799316406,1210,125395,573,-99.03504924438774,99.03504924438774,4
