method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,0.8428098554355721,2.2193070827485886,1.1100979760430878,0.939900891609225,0.09057514255210532
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.6503331125810043,3.027037288979838,1.8691286258294941,1.0091436776251594,0.16560269691191107
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.3962234990514297,2.8894828451873686,1.7375968088975045,1.0997272725846832,0.17862707168521447
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,0.8884735795924686,1.8888892321806543,1.0252719561279777,1.0628065805434312,0.11024921859183934
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,1.7327588261267919,2.826481651361607,1.9033036101219505,1.076518556042925,0.41370975267467536
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,0.6923869411200375,1.7230109022558804,0.9125149640612584,0.9954851476303515,0.1020097640074908
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,0.9982912264957267,2.0723583032859927,1.1728987170733491,0.9435826709915343,0.12694453416190637
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,2.0859603945083554,3.4718230322922863,2.217001786230429,1.011561543696928,0.18563107999178138
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.667809559128727,3.4665281991929136,2.031902511900012,1.1024741252060135,0.24655244992854095
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,2.0741181835253317,3.7242663175190382,2.281764553209862,1.009308493349117,0.44678099605944055
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.0259559072848348,1.790693941961393,1.1533477744743719,0.9347622761419755,0.09410631265321115
